variable,type,data_set
file_path,object,observations
extension,object,observations
text,object,observations
candidate_name,object,observations
email,object,observations
phone,object,observations
university,object,observations
Major,object,observations
Experience,object,observations
Platforms,object,observations
Database,object,observations
programming,object,observations
Continuous Integration,object,observations
Cyber-security,object,observations
Machinelearning,object,observations
Languages,object,observations
Hobbies,object,observations
Open-source,object,observations
